1,Guanzhou,42-641
2,Huoli,63-893
3,Presidente Epitácio,81-812
4,Novo,70-916
5,Jiujie,04-220
6,Bolhos,67-230
7,Shuiyuesi,31-932
8,Jungutbatu Kaja Dua,19-633
9,Iksha,12-821
10,Damiao,14-123
11,Partizan,78-851
12,Huta Stara B,58-052
13,Tongtuan,68-820
14,Glad,44-986
15,Lagoa,34-407
16,Wilfrido Loor Moreira,78-004
17,Куклиш,78-226
18,La Victoria,68-632
19,Shangcai Zhongxing,57-207
20,Thaon-les-Vosges,62-017
21,Öldziyt,23-323
22,Dongyangzhen,93-411
23,Jalālābād,48-818
24,Újezd,19-447
25,Ponte,09-542
26,Palestina,08-664
27,Tarkastad,29-742
28,Suzhou,04-086
29,Taloy,04-899
30,Lysekil,11-735
31,Sergokala,97-365
32,Odiongan,80-679
33,Krajan Puger Wetan,93-915
34,Ágios Stéfanos,20-106
35,Burgas,46-351
36,Chalaco,01-650
37,Jaguarão,93-688
38,Voskopojë,76-219
39,Kotabaru,83-405
40,Manas,90-702
41,Ciervo Petiso,08-650
42,Azenhas do Mar,09-501
43,Saumur,59-453
44,Omaruru,99-815
45,København,84-117
46,Kalmar,86-521
47,Quinta do Anjo,06-418
48,Bembèrèkè,72-636
49,Orange Farm,73-181
50,Yaojiagou,48-961
51,Norfolk,79-672
52,Puutura,70-214
53,Tayāsīr,91-724
54,Valle de Ángeles,29-492
55,Kokkini Trimithia,17-134
56,Del Pilar,03-982
57,Krajan Satu,98-617
58,Nanjie,03-344
59,Guaçuí,71-205
60,Xishaping,17-240
61,Bojano,98-867
62,Chigang,25-607
63,Butwāl,96-279
64,Ambar,27-247
65,Novocherkassk,73-860
66,El Zapotal del Norte,03-333
67,Anju,64-055
68,Pasirpengarayan,87-650
69,Sendangrejo,15-271
70,Bhalwāl,76-740
71,Bang Khon Thi,80-907
72,Kumane,16-442
73,Narganá,32-991
74,Kilindoni,56-240
75,Banjar Pande,22-162
76,Enschede,44-310
77,Buriwutung,25-182
78,Kemil,34-949
79,Colonia Neuland,26-298
80,Pandan Niog,18-557
81,Daxing,65-566
82,Gamboula,90-180
83,Petropavlovka,38-328
84,Urjala,68-383
85,San Guillermo,14-259
86,Dongdajie,89-499
87,Hechun,96-046
88,Mayma,90-902
89,Frydrychowice,29-917
90,Bisert’,99-377
91,Huacapampa,22-977
92,Pingshi,11-232
93,Battaramulla South,77-442
94,Kisarawe,99-559
95,Kristinestad,33-053
96,Šumice,64-220
97,Bama,15-013
98,Dachuan,00-035
99,Labog,87-594
100,Liangcunchang,39-704
